epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7151,0.7075,1.61431,1.21835,0.87344,0.98379,0.92019,0.77414,0.5808,1.81875,1.12312,0.000550522,0.000550522,0.000550522
2,87.0082,0.65512,0.81397,1.14723,0.96008,0.96676,0.98215,0.86109,0.47048,1.17189,1.06248,0.00109524,0.00109524,0.00109524
3,116.106,0.66028,0.71235,1.14955,0.97097,0.97685,0.98579,0.87887,0.46155,0.86104,1.01925,0.00162895,0.00162895,0.00162895
4,144.943,0.619,0.60158,1.11567,0.95686,0.97359,0.98242,0.91378,0.3752,0.55239,0.93865,0.00161749,0.00161749,0.00161749
5,174.646,0.58965,0.53523,1.10606,0.97277,0.98446,0.99002,0.88803,0.44429,0.45296,1.02001,0.00160099,0.00160099,0.00160099
6,203.66,0.53624,0.46968,1.07056,0.99015,0.98229,0.99115,0.90233,0.39729,0.37351,0.9655,0.00158448,0.00158448,0.00158448
7,232.282,0.54296,0.45411,1.07176,0.9993,0.98141,0.98745,0.91799,0.31796,0.33982,0.91294,0.00156798,0.00156798,0.00156798
8,260.449,0.49987,0.42127,1.04145,0.96028,0.97218,0.99096,0.95687,0.27459,0.31359,0.86866,0.00155148,0.00155148,0.00155148
9,288.753,0.48949,0.4019,1.0471,0.95203,0.92682,0.98444,0.93984,0.30338,0.35798,0.87593,0.00153497,0.00153497,0.00153497
10,316.916,0.46455,0.38624,1.02841,0.99515,0.97436,0.99145,0.94735,0.28269,0.26509,0.86809,0.00151847,0.00151847,0.00151847
11,345.691,0.44793,0.36807,1.02146,0.99697,0.98446,0.99189,0.95974,0.25291,0.24227,0.85197,0.00150197,0.00150197,0.00150197
12,376.446,0.45271,0.36875,1.02133,0.99814,0.97941,0.99344,0.97135,0.22109,0.23042,0.82337,0.00148546,0.00148546,0.00148546
13,405.584,0.42936,0.35652,1.01346,0.84252,0.85199,0.97803,0.94201,0.24911,0.51553,0.83194,0.00146896,0.00146896,0.00146896
14,434.808,0.43517,0.35184,1.00952,0.74129,0.91137,0.97482,0.89807,0.39021,0.79092,0.94001,0.00145246,0.00145246,0.00145246
15,463.265,0.42906,0.32951,1.00601,0.98529,0.97398,0.98935,0.96295,0.25581,0.23795,0.82989,0.00143595,0.00143595,0.00143595
16,491.877,0.4234,0.3408,1.01256,0.99456,0.98024,0.98906,0.9784,0.20679,0.22736,0.81471,0.00141945,0.00141945,0.00141945
17,521.003,0.39857,0.30439,0.99766,0.99832,0.98845,0.99422,0.93689,0.30276,0.23396,0.88456,0.00140295,0.00140295,0.00140295
18,554.926,0.40771,0.31695,1.00494,0.9963,0.97071,0.99093,0.96765,0.23577,0.22654,0.82225,0.00138644,0.00138644,0.00138644
19,586.647,0.39753,0.31618,0.9961,0.98678,0.97359,0.99229,0.96884,0.22278,0.21886,0.82971,0.00136994,0.00136994,0.00136994
20,616.816,0.39559,0.30649,0.99736,0.98733,0.98925,0.98975,0.97166,0.20759,0.2057,0.81885,0.00135344,0.00135344,0.00135344
21,646.877,0.38262,0.30873,0.98501,0.95686,0.95055,0.97902,0.96133,0.20926,0.25744,0.81956,0.00133693,0.00133693,0.00133693
22,676.55,0.3747,0.30004,0.98407,0.99358,0.98408,0.98963,0.97552,0.20017,0.20743,0.8085,0.00132043,0.00132043,0.00132043
23,705.219,0.37985,0.29197,0.98937,0.99337,0.98038,0.9902,0.97041,0.20278,0.22278,0.81844,0.00130393,0.00130393,0.00130393
24,733.869,0.38273,0.30287,0.98899,1,0.97478,0.99019,0.97502,0.20297,0.19151,0.80564,0.00128742,0.00128742,0.00128742
25,763.687,0.36616,0.28855,0.97908,0.80055,0.85946,0.93103,0.91244,0.21989,0.6627,0.81844,0.00127092,0.00127092,0.00127092
26,794.808,0.35045,0.28239,0.97325,0.99577,0.97903,0.99319,0.98652,0.1477,0.16312,0.77773,0.00125442,0.00125442,0.00125442
27,824.373,0.3549,0.27423,0.97128,0.98314,0.97903,0.98907,0.97705,0.18209,0.19859,0.79628,0.00123791,0.00123791,0.00123791
28,854.205,0.37115,0.29421,0.98405,0.987,0.96893,0.99197,0.9854,0.17104,0.19205,0.78929,0.00122141,0.00122141,0.00122141
29,883.117,0.34466,0.26306,0.96385,0.99567,0.98243,0.99375,0.98317,0.17387,0.16562,0.78651,0.00120491,0.00120491,0.00120491
30,911.926,0.33745,0.26113,0.96731,0.99666,0.98446,0.98839,0.97695,0.19029,0.18223,0.80612,0.0011884,0.0011884,0.0011884
31,940.938,0.35306,0.2764,0.97469,0.99312,0.97029,0.99104,0.97365,0.20622,0.19716,0.81205,0.0011719,0.0011719,0.0011719
32,970.492,0.34644,0.26522,0.9739,0.9973,0.97359,0.98946,0.98309,0.15631,0.16826,0.79395,0.0011554,0.0011554,0.0011554
33,999.26,0.34439,0.26898,0.96439,0.9957,0.98446,0.98962,0.98288,0.17774,0.16507,0.78754,0.00113889,0.00113889,0.00113889
34,1028.19,0.32596,0.25583,0.95976,0.99558,0.98189,0.99189,0.98151,0.1606,0.16134,0.78567,0.00112239,0.00112239,0.00112239
35,1056.83,0.32914,0.25846,0.95991,0.99085,0.97903,0.99295,0.98327,0.15366,0.1531,0.77783,0.00110589,0.00110589,0.00110589
36,1085.78,0.32999,0.25776,0.96168,0.9679,0.94642,0.98791,0.97855,0.1861,0.21384,0.79223,0.00108938,0.00108938,0.00108938
